Title,Author,ISBN-13,ISBN-10,Cost,publisher,Quantity Available,Reviews,Rating,Release date,Book Description
Patterns of Enterprise Application Architecture,Martin Fowler,978-0321127426,321127420,,Addison-Wesley,,,,,test
Building Microservices,Sam Newman,978-1491950357,1491950358,,O'Reilly,,,,,test
Threat Modeling: Designing for Security,Adam Shostack,978-1118809990,1118809998,,Wiley,,,,,test
The Pragmatic Programmer: From Journeyman to Master,Andrew Hunt;David Thomas,978-0201616224,020161622X,,Addison-Wesley,,,,,test
Computer Security: Principles and Practice (3rd Edition),William Stallings; Lawrie Brown,978-0133773927,133773922,$153.32 ,Pearson,,,,Jul-14,test
"Cyber Operations: Building, Defending, and Attacking Modern Computer Networks.",O'Leary; Mike,978-1484204580,,,Apress,,,,,test
"Network Security: Private Communication in a Public World. 2nd ed.,",Kaufman;Charlie,978-0130460196,,,Prentice Hall,,,,,test
"Core Software Security: Security at the Source. 1st Ed.,",James Ransome ;Anmol Misra,978-1466560963,,,CRC Press,,,,Dec-13,test
